iter	Passed	Remaining
467	5560	113257
468	5572	113237
469	5583	113224
470	5595	113210
471	5607	113198
472	5619	113187
473	5631	113177
474	5643	113164
475	5654	113146
476	5666	113131
477	5678	113115
478	5689	113098
479	5701	113081
480	5713	113063
481	5724	113044
482	5736	113029
483	5748	113016
484	5760	113005
485	5771	112990
486	5783	112975
487	5795	112957
488	5806	112940
489	5818	112927
490	5830	112911
491	5841	112893
492	5853	112881
493	5865	112871
494	5877	112857
495	5889	112843
496	5901	112831
497	5912	112819
498	5925	112815
499	5936	112801
500	5948	112790
501	5960	112779
502	5972	112763
503	5984	112749
504	5995	112734
505	6007	112721
506	6019	112711
507	6031	112701
508	6043	112694
509	6056	112695
510	6069	112698
511	6081	112692
512	6093	112688
513	6105	112669
514	6116	112649
515	6128	112636
516	6140	112624
517	6151	112611
518	6163	112592
519	6175	112579
520	6187	112568
521	6198	112555
522	6210	112540
523	6222	112533
524	6234	112518
525	6246	112501
526	6257	112486
527	6269	112470
528	6281	112453
529	6293	112443
530	6304	112425
531	6316	112411
532	6327	112393
533	6339	112377
534	6351	112360
535	6362	112343
536	6374	112323
537	6385	112310
538	6397	112293
539	6409	112277
540	6421	112271
541	6433	112262
542	6444	112244
543	6456	112234
544	6468	112220
545	6480	112205
546	6491	112191
547	6504	112185
548	6516	112174
549	6527	112157
550	6539	112143
551	6551	112135
552	6563	112119
553	6574	112104
554	6586	112085
555	6598	112072
556	6609	112060
557	6621	112043
558	6633	112027
559	6645	112026
560	6657	112013
561	6669	112000
562	6680	111985
563	6693	111978
564	6704	111961
565	6716	111949
566	6728	111938
567	6740	111923
568	6751	111903
569	6762	111885
570	6774	111868
571	6786	111861
572	6798	111856
573	6811	111847
574	6822	111833
575	6834	111823
576	6846	111807
577	6858	111793
578	6869	111780
579	6881	111768
580	6893	111757
581	6905	111745
582	6917	111728
583	6928	111717
584	6940	111707
585	6952	111691
586	6964	111685
587	6976	111670
588	6988	111655
589	6999	111643
590	7011	111630
591	7023	111619
592	7035	111610
593	7047	111597
594	7059	111583
595	7071	111575
596	7083	111566
597	7095	111552
598	7107	111541
599	7118	111529
600	7132	111546
601	7144	111532
602	7156	111520
603	7167	111506
604	7179	111496
605	7192	111490
606	7203	111477
607	7216	111471
608	7228	111458
609	7240	111448
610	7252	111442
611	7264	111430
612	7275	111418
613	7287	111401
614	7299	111385
615	7311	111374
616	7322	111363
617	7334	111345
618	7346	111332
619	7357	111317
620	7369	111307
621	7381	111295
622	7393	111284
623	7405	111269
624	7417	111263
625	7429	111255
626	7441	111244
627	7453	111235
628	7465	111223
629	7477	111212
630	7489	111206
631	7501	111194
632	7513	111177
633	7524	111162
634	7536	111146
635	7547	111130
636	7559	111115
637	7570	111095
638	7582	111077
639	7593	111058
640	7605	111042
641	7616	111024
642	7628	111007
643	7639	110993
644	7651	110979
645	7663	110966
646	7675	110950
647	7686	110933
648	7698	110918
649	7709	110904
650	7721	110893
651	7733	110877
652	7745	110863
653	7757	110854
654	7768	110839
655	7780	110822
656	7791	110806
657	7803	110793
658	7815	110778
659	7827	110768
660	7839	110758
661	7851	110747
662	7863	110740
663	7875	110728
664	7887	110718
665	7899	110706
666	7910	110694
667	7922	110680
668	7935	110680
669	7947	110671
670	7959	110658
671	7970	110639
672	7982	110625
673	7994	110612
674	8005	110599
675	8017	110586
676	8029	110578
677	8040	110557
678	8052	110541
679	8064	110526
680	8075	110513
681	8088	110506
682	8100	110496
683	8111	110484
684	8123	110472
685	8136	110464
686	8147	110454
687	8159	110443
688	8172	110436
689	8183	110423
690	8195	110413
691	8207	110395
692	8218	110380
693	8230	110369
694	8242	110352
695	8254	110339
696	8265	110324
697	8277	110304
698	8288	110289
699	8300	110278
700	8312	110270
701	8324	110255
702	8336	110241
703	8347	110228
704	8359	110216
705	8371	110206
706	8383	110197
707	8395	110188
708	8409	110198
709	8421	110194
710	8433	110182
711	8446	110185
712	8458	110175
713	8470	110166
714	8482	110153
715	8494	110143
716	8506	110131
717	8518	110117
718	8529	110103
719	8541	110091
720	8553	110080
721	8565	110066
722	8576	110052
723	8588	110039
724	8600	110029
725	8612	110013
726	8623	109998
727	8635	109982
728	8647	109969
729	8658	109954
730	8670	109940
731	8682	109930
732	8694	109918
733	8705	109900
734	8718	109900
735	8730	109889
736	8741	109873
737	8753	109857
738	8765	109844
739	8777	109832
740	8788	109817
741	8800	109804
742	8811	109787
743	8823	109772
744	8835	109758
745	8847	109747
746	8859	109736
747	8870	109722
748	8882	109708
749	8894	109698
750	8905	109681
751	8917	109665
752	8929	109653
753	8940	109636
754	8952	109624
755	8964	109614
756	8976	109598
757	8987	109585
758	8999	109569
759	9014	109597
760	9026	109584
761	9038	109572
762	9049	109559
763	9061	109547
764	9073	109530
765	9085	109521
766	9100	109548
767	9112	109535
768	9123	109522
769	9135	109506
770	9147	109494
771	9158	109479
772	9170	109469
773	9182	109456
774	9194	109443
775	9206	109430
776	9218	109419
777	9229	109403
778	9241	109392
779	9253	109375
780	9264	109360
781	9276	109347
782	9288	109333
783	9299	109317
784	9311	109306
785	9323	109291
786	9334	109276
787	9346	109261
788	9358	109249
789	9369	109234
790	9381	109220
791	9393	109206
792	9405	109195
793	9416	109181
794	9428	109168
795	9440	109153
796	9451	109137
797	9463	109121
798	9480	109168
799	9491	109156
800	9503	109144
801	9515	109131
802	9526	109113
803	9538	109099
804	9550	109084
805	9561	109069
806	9573	109056
807	9585	109041
808	9596	109027
809	9608	109013
810	9619	108996
811	9631	108981
812	9642	108966
813	9654	108950
814	9666	108935
815	9678	108925
816	9689	108912
817	9701	108900
818	9713	108889
819	9725	108877
820	9737	108862
821	9748	108850
822	9760	108837
823	9772	108824
824	9784	108812
825	9796	108799
826	9807	108787
827	9819	108774
828	9831	108762
829	9842	108746
830	9854	108735
831	9866	108721
832	9878	108707
833	9890	108695
834	9902	108686
835	9913	108672
836	9926	108669
837	9938	108658
838	9950	108644
839	9961	108628
840	9973	108619
841	9985	108606
842	9996	108590
843	10008	108573
844	10020	108560
845	10031	108548
846	10043	108537
847	10055	108527
848	10067	108514
849	10079	108501
850	10091	108488
851	10103	108478
852	10114	108463
853	10126	108450
854	10138	108437
855	10149	108424
856	10163	108426
857	10174	108413
858	10186	108398
859	10198	108383
860	10209	108369
861	10221	108357
862	10233	108342
863	10245	108332
864	10257	108323
865	10269	108311
866	10280	108299
867	10293	108292
868	10304	108278
869	10316	108264
870	10328	108252
871	10340	108242
872	10352	108228
873	10364	108217
874	10375	108203
875	10387	108193
876	10399	108182
877	10411	108170
878	10423	108156
879	10435	108145
880	10446	108130
881	10458	108114
882	10469	108102
883	10481	108086
884	10493	108075
885	10504	108060
886	10516	108046
887	10528	108033
888	10539	108017
889	10551	108004
890	10563	107990
891	10575	107978
892	10586	107963
893	10598	107951
894	10610	107939
895	10621	107925
896	10633	107914
897	10645	107901
898	10657	107890
899	10669	107876
900	10680	107862
901	10692	107851
902	10704	107835
903	10716	107824
904	10727	107813
905	10739	107797
906	10751	107785
907	10763	107772
908	10775	107762
909	10786	107750
910	10798	107734
911	10810	107723
912	10822	107713
913	10834	107701
914	10845	107688
915	10857	107675
916	10869	107662
917	10881	107650
918	10893	107639
919	10904	107626
920	10916	107616
921	10928	107602
922	10940	107591
923	10952	107580
924	10964	107568
925	10976	107556
926	10987	107543
927	10999	107531
928	11011	107518
929	11023	107506
930	11035	107494
931	11046	107481
932	11058	107465
933	11069	107452
934	11081	107441
935	11094	107432
936	11105	107420
937	11117	107406
938	11129	107395
939	11141	107381
940	11152	107368
941	11164	107353
942	11176	107343
943	11188	107329
944	11199	107315
945	11211	107307
946	11223	107295
947	11235	107285
948	11247	107270
949	11259	107258
950	11270	107245
951	11282	107232
