iter	AUC	Logloss
0	0.9784754217	0.4974165915
1	0.9821644723	0.3642983225
2	0.9849961698	0.2740585981
3	0.9855711162	0.2151916998
4	0.9856462479	0.1755402729
5	0.9860738516	0.1490894807
6	0.986207813	0.1308947828
7	0.9862543046	0.1181906146
8	0.9862885773	0.1082107295
9	0.9863971174	0.1004877081
10	0.9863713682	0.09564845488
11	0.9863710701	0.09145596032
12	0.9865601063	0.08770915797
13	0.9865794778	0.08508428054
14	0.9866021574	0.08307063406
15	0.9866402447	0.08106400772
16	0.9866644144	0.0797286618
17	0.9867595732	0.07827272245
18	0.986807704	0.07722756195
19	0.9868556857	0.07627453225
20	0.986866951	0.07568956873
21	0.9868891239	0.07499701064
22	0.9868683219	0.07438456596
23	0.9868524671	0.07379510716
24	0.9871658981	0.07316019356
25	0.9872396886	0.07272957554
26	0.9872510433	0.07229044645
27	0.9873409867	0.07175828001
28	0.98749879	0.071229043
29	0.9875065386	0.07096863882
30	0.987534374	0.07063851282
31	0.9875500798	0.07028578304
32	0.9876265824	0.06995571698
33	0.9877199233	0.06954625675
34	0.9877337515	0.06933338268
35	0.987806797	0.06903891925
36	0.9878137708	0.06893490592
37	0.9878489375	0.06863153434
38	0.987894088	0.06848758044
39	0.98794958	0.06822776813
40	0.9879691899	0.068028777
41	0.9879857302	0.06784002011
42	0.9880059659	0.06768081971
43	0.9881477058	0.06747219369
44	0.9881609976	0.06733167118
45	0.9881720841	0.06718853391
46	0.98821944	0.06705826814
47	0.9882241488	0.06696128993
48	0.988235116	0.06686163703
49	0.9882566035	0.06673629359
50	0.9882873893	0.06661354992
51	0.9882912338	0.06652554729
52	0.9883111119	0.0664230174
53	0.9883451164	0.06623749712
54	0.9883642793	0.06613445777
55	0.9883794487	0.06604034156
56	0.9883983731	0.06596809489
57	0.9884130657	0.06585855986
58	0.9884261191	0.0658011626
59	0.9884419143	0.06571152668
60	0.9884743094	0.06559879251
61	0.9885106981	0.06539317832
62	0.9885238409	0.06527779193
63	0.9885308146	0.06522420817
64	0.9885917306	0.06508800113
65	0.9886007607	0.06504092804
66	0.9886105359	0.06497712501
67	0.98864007	0.06487965981
68	0.988658756	0.06479250379
69	0.9886867702	0.06464066815
70	0.9887034595	0.06456633118
71	0.9887140393	0.0645299194
72	0.9887178838	0.0644680793
73	0.9887428582	0.06437334873
74	0.9887495935	0.06430645894
75	0.9887664318	0.06421203555
76	0.9887723029	0.06418039626
77	0.9887878597	0.06411331916
78	0.988807112	0.06403246403
79	0.988817364	0.0639621728
80	0.9888232648	0.06389989067
81	0.9888383746	0.06382765899
82	0.9888569713	0.06375955547
83	0.9888768494	0.06367536634
84	0.9888828993	0.06363382244
85	0.9888879359	0.06359613699
86	0.9888982475	0.06352475941
87	0.9889050722	0.06349020568
88	0.9889146686	0.06341458006
89	0.9889322519	0.0633675669
90	0.9889449775	0.06331875563
91	0.9889891446	0.06322489415
92	0.9890156984	0.0631345315
93	0.9890172482	0.06310045726
94	0.9890224338	0.06304781751
95	0.9890264273	0.0630088584
96	0.989043355	0.06295320681
97	0.9890496433	0.06287340807
98	0.9890836477	0.06281936729
99	0.9890880287	0.06278061047
100	0.9890886545	0.06275173952
101	0.9891029894	0.06269502405
102	0.9891119301	0.06265373114
103	0.9891308844	0.06259358802
104	0.9891652763	0.06252154364
105	0.9891686738	0.06247857624
106	0.9891829789	0.06237944404
107	0.9892292321	0.06231231824
108	0.9892427027	0.06226966926
109	0.9892537594	0.06217508853
110	0.9892613292	0.06212981355
111	0.9893122315	0.06205630445
112	0.9893181622	0.06202873339
113	0.9893264174	0.06198438369
114	0.989327848	0.06197062438
115	0.9893451333	0.06194540211
116	0.9893848896	0.06188603816
117	0.9893935919	0.06184910568
118	0.9894001186	0.0618098806
119	0.989417851	0.06175556636
120	0.9894271195	0.06170275054
121	0.9894304872	0.06167693639
122	0.9894420207	0.06163499166
123	0.9894592464	0.06159826146
124	0.9894749224	0.06154901565
125	0.9894836247	0.06151056601
126	0.9894859195	0.06147710238
127	0.989503026	0.06144823518
128	0.9895631373	0.06135841571
129	0.9895678163	0.06133154891
130	0.9895792902	0.06129831379
131	0.9895833433	0.06126207807
132	0.9895890057	0.0612324242
133	0.9896196723	0.06119400452
134	0.9896225035	0.06117552517
135	0.9896269143	0.06113198087
136	0.9896319807	0.06110206852
137	0.9896429777	0.0610409177
138	0.9896617234	0.06098035877
139	0.9896755517	0.06094565519
140	0.989684552	0.06088489022
141	0.9896890223	0.06083866374
142	0.9896945655	0.06082528278
143	0.98969993	0.06079824741
144	0.9897116125	0.06077336603
145	0.9897301197	0.06073141006
146	0.9897330999	0.0607125074
